full_name,pdes,name,neo,pha,class,e,a,q,i,om,w,ma,epoch,per,per_y,n,ad,H,G,diameter,extent,albedo,rot_per,GM,density,BV,UB,IR,spec_T,spec_B,condition_code,data_arc,n_obs_used,moid,moid_ld,t_jup
   433 Eros (A898 PA),433,Eros,Y,N,AMO,0.2229,1.458,1.133,10.83,304.27,178.92,62.51,2461200.5,643,1.76,0.5597,1.78,10.40,0.46,16.84,34.4x11.2x11.2,0.25,5.27,4.463e-04,2.67,0.921,0.531,,S,S,0,46582,9130,0.149,57.9,4.58
   719 Albert (A911 TB),719,Albert,Y,N,AMO,0.5466,2.637,1.196,11.57,183.86,156.18,286.68,2461200.5,1.56e+03,4.28,0.2302,4.08,15.59,,,,,5.801,,,,,,,S,0,41869,2147,0.202,78.5,3.14
   887 Alinda (A918 AA),887,Alinda,Y,N,AMO,0.5711,2.474,1.061,9.40,110.41,350.55,132.18,2461200.5,1.42e+03,3.89,0.2533,3.89,13.82,-0.12,4.2,,0.31,28.41,,,0.832,0.436,,S,,0,39281,5843,0.0801,31.2,3.22
  1036 Ganymed (A924 UB),1036,Ganymed,Y,N,AMO,0.5335,2.664,1.243,26.69,215.40,132.51,142.97,2461200.5,1.59e+03,4.35,0.2267,4.09,9.17,0.30,37.675,,0.238,10.297,,,0.842,0.417,,S,S,0,37140,13637,0.342,133,3.04
  1221 Amor (1932 EA1),1221,Amor,Y,N,AMO,0.4347,1.92,1.085,11.87,171.24,26.75,133.98,2461200.5,972,2.66,0.3706,2.75,17.37,,1.0,,,,,,,,,,,0,33947,686,0.109,42.4,3.78
  1566 Icarus (1949 MA),1566,Icarus,Y,Y,APO,0.8270,1.078,0.186,22.80,87.95,31.44,329.18,2461200.5,409,1.12,0.8806,1.97,16.53,,1.0,,0.51,2.2726,,,0.774,0.520,,,,0,27807,1792,0.0338,13.2,5.3
  1580 Betulia (1950 KA),1580,Betulia,Y,N,AMO,0.4876,2.195,1.125,52.19,62.22,159.71,140.91,2461200.5,1.19e+03,3.25,0.3031,3.27,14.54,0.00,5.8,,0.08,6.1324,,,0.656,0.249,,C,,0,26722,2255,0.134,52.2,3.07
  1620 Geographos (1951 RA),1620,Geographos,Y,Y,APO,0.3355,1.246,0.828,13.34,337.13,277.03,354.68,2461200.5,508,1.39,0.7088,1.66,15.27,,2.56,5.0x2.0x2.1,0.290,5.22204,,,0.862,0.471,,S,S,0,27363,9340,0.0295,11.5,5.07
  1627 Ivar (1929 SH),1627,Ivar,Y,N,AMO,0.3973,1.863,1.123,8.46,133.07,167.83,28.98,2461200.5,929,2.54,0.3876,2.60,12.79,0.60,9.12,,0.15,4.795,,,0.872,0.459,,S,S,0,35386,14469,0.11,42.9,3.88
  1685 Toro (1948 OA),1685,Toro,Y,N,APO,0.4360,1.368,0.771,9.38,274.21,127.27,205.91,2461200.5,584,1.6,0.6161,1.96,14.26,,3.4,,0.31,10.1995,,,0.880,0.470,,S,S,0,28515,5512,0.0509,19.8,4.71
  1862 Apollo (1932 HA),1862,Apollo,Y,Y,APO,0.5602,1.471,0.647,6.35,35.50,286.10,224.36,2461200.5,651,1.78,0.5526,2.29,16.09,0.09,1.5,,0.25,3.065,,,0.819,0.481,,Q,Q,0,34822,3695,0.0263,10.2,4.41
  1863 Antinous (1948 EA),1863,Antinous,Y,N,APO,0.6062,2.259,0.890,18.38,345.54,269.11,347.57,2461200.5,1.24e+03,3.4,0.2902,3.63,15.32,,2.1,,0.24,7.453,,,0.763,0.359,,SU,Sq,0,28643,1955,0.188,73.2,3.3
  1864 Daedalus (1971 FA),1864,Daedalus,Y,N,APO,0.6145,1.461,0.563,22.22,6.60,325.66,9.22,2461200.5,645,1.77,0.5582,2.36,14.83,,3.7,,0.273,8.572,,,0.830,0.500,,SQ,Sr,0,20100,6597,0.269,105,4.34
  1865 Cerberus (1971 UA),1865,Cerberus,Y,N,APO,0.4669,1.08,0.576,16.10,212.88,325.30,135.31,2461200.5,410,1.12,0.8782,1.58,16.77,,1.2,,0.22,6.8039,,,0.790,0.442,,S,S,0,19988,2499,0.156,60.9,5.59
  1866 Sisyphus (1972 XA),1866,Sisyphus,Y,N,APO,0.5381,1.893,0.875,41.21,63.45,293.09,216.35,2461200.5,952,2.61,0.3783,2.91,12.47,,8.48,,0.15,2.4,,,,,,,S,0,26128,10696,0.103,40.2,3.51
